Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Minerals Commission,Central goverment,,46704251.45,Ghana,GHA,2017,2017/01/01,2017/12/31
Ministry of Lands and Natural Resources,Central goverment,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Environmental Protection Agency,Central goverment,,7844298.65,Ghana,GHA,2017,2017/01/01,2017/12/31
Ministry of Energy,Central goverment,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Ministry of Finance,Central goverment,,29593891.06,Ghana,GHA,2017,2017/01/01,2017/12/31
Office of the Administrator of Stool Lands,Central goverment,,13318084,Ghana,GHA,2017,2017/01/01,2017/12/31
Ghana Railway Authority,Central goverment,,15663916,Ghana,GHA,2017,2017/01/01,2017/12/31
"Metropolitan, Municipal and District Assemblies",Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Tarkwa Nsuaem,Local government,,470801,Ghana,GHA,2017,2017/01/01,2017/12/31
Ellembelle,Local government,,50000,Ghana,GHA,2017,2017/01/01,2017/12/31
Prestea Huni Valley,Local government,,126556,Ghana,GHA,2017,2017/01/01,2017/12/31
Mpohor Wassa East,Local government,,44206,Ghana,GHA,2017,2017/01/01,2017/12/31
Sefwi District Assembly,Local government,,130563,Ghana,GHA,2017,2017/01/01,2017/12/31
Asutifi District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Birim North Assembly,Local government,,434500,Ghana,GHA,2017,2017/01/01,2017/12/31
Denkyira District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Yilo Krobo District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Amansie South District Assemly,Local government,,241900,Ghana,GHA,2017,2017/01/01,2017/12/31
Bibiani /Ahwiaso /Bekwai District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Ghana National Petroleum Company,Central goverment,,23128519.17,Ghana,GHA,2018,2018/01/01,2018/12/31
Petroleum Commission,Central goverment,,22375915.06,Ghana,GHA,2018,2018/01/01,2018/12/31
Ghana Revenue Authority,Central goverment,,5986043296.91,Ghana,GHA,2018,2018/01/01,2018/12/31
Minerals Commission,Central goverment,,48065684.81,Ghana,GHA,2018,2018/01/01,2018/12/31
Ministry of Lands and Natural Resources,Central goverment,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Environmental Protection Agency,Central goverment,,15778843.06,Ghana,GHA,2018,2018/01/01,2018/12/31
Ministry of Energy,Central goverment,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Ministry of Finance,Central goverment,,112070960,Ghana,GHA,2018,2018/01/01,2018/12/31
Office of the Administrator of Stool Lands,Central goverment,,7809541,Ghana,GHA,2018,2018/01/01,2018/12/31
Ghana Railway Authority,Central goverment,,17864451.13,Ghana,GHA,2018,2018/01/01,2018/12/31
"Metropolitan, Municipal and District Assemblies",Local government,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Tarkwa Nsuaem,Local government,,470801.82,Ghana,GHA,2018,2018/01/01,2018/12/31
Ellembelle,Local government,,50000,Ghana,GHA,2018,2018/01/01,2018/12/31
Prestea Huni Valley,Local government,,126556,Ghana,GHA,2018,2018/01/01,2018/12/31
Mpohor Wassa East,Local government,,44206,Ghana,GHA,2018,2018/01/01,2018/12/31
Sefwi District Assembly,Local government,,130563,Ghana,GHA,2018,2018/01/01,2018/12/31
Asutifi District Assembly,Local government,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Birim North Assembly,Local government,,434500,Ghana,GHA,2018,2018/01/01,2018/12/31
Denkyira District Assembly,Local government,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Yilo Krobo District Assembly,Local government,,,Ghana,GHA,2018,2018/01/01,2018/12/31
Amansie South District Assemly,Local government,,241900,Ghana,GHA,2018,2018/01/01,2018/12/31
Bibiani /Ahwiaso /Bekwai District Assembly,Local government,,,Ghana,GHA,2017,2017/01/01,2017/12/31
Ghana National Petroleum Company,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Petroleum Commission,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Ghana Revenue Authority,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Minerals Commission,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Forestry Commission,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Ministry of Lands and Natural Resources,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Environmental Protection Agency,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Ministry of Energy,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Ministry of Finance,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Office of the Administrator of Stool Lands,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Ghana Railway Authority,Central goverment,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Tarkwa Nsuaem Municipal Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Prestea Huni Valley District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Mpohor Wassa East,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Bibiani/Ahwiaso District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Sefwi Wiaso District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Asutifi North District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Birim North District Assembly Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Wassa Amenfi East Municipal Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Upper Denkyira West District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Amansie South District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Amansie West District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Obuasi Municipal Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Amansie Central District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Tarkwa Nsuaem,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Ellembelle,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Prestea Huni Valley,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Mpohor Wassa East,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Sefwi District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Asutifi District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
