GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Licence fees (114521E),Mining,Droits fixes,Direction Générale du Trésor (DGT),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Motor vehicle taxes (11451E),Oil & Gas,Taxe sur les véhicules de tourisme des sociétés (TVTS),Direction Générale des Impôts et des Domaines (DGID),49452191.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôt sur le revenu des valeurs mobilières (IRM),Direction Générale des Impôts et des Domaines (DGID),160098439.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôts retenus à la source des sous-traitants,Direction Générale des Impôts et des Domaines (DGID),11878710642.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôts sur les sociétés,Direction Générale des Impôts et des Domaines (DGID),42459769.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Taxe spéciale sur les sociétés (y compris retenue à la source),Direction Générale des Impôts et des Domaines (DGID),1107682094.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Mining,Taxe sur les géomatériaux de construction,Direction Générale du Trésor (DGT),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Autres revenues du domaine minier,Direction Générale des Impôts et des Domaines (DGID),46017222.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Autres revenus du domaine minier,Direction Générale du Trésor (DGT),129727234346.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Patente,Direction Générale des Impôts et des Domaines (DGID),190356272.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Taxe régionale,Direction Générale des Impôts et des Domaines (DGID),6427600.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Other,Fiscalité du champs Lianzi,Direction Générale du Trésor (DGT),18506049729.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Other,Taxe d'abattage,Direction Générale du Trésor (DGT),4305512335.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Other,Taxe de déboisement,Direction Générale du Trésor (DGT),106075187.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Other,Taxe de superficie,Direction Générale du Trésor (DGT),1836548898.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Other taxes payable by natural resource companies (116E),Other,Taxe sur les produits forestiers accessoires,Direction Générale du Trésor (DGT),618000.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Mining,Redevance minière,Direction Générale du Trésor (DGT),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,Bonus de production,Direction Générale du Trésor (DGT),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,Bonus de signature,Direction Générale du Trésor (DGT),7834306658.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,Frais de formation,Direction Générale des Hydrocarbures (DGH),1384794486.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,"Profit Oil, Super Profit Oil, Excess Oil",Direction Générale du Trésor (DGT),3594470855.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,Provision pour investissements diversifiés (PID),Direction Générale du Trésor (DGT),20550995462.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,Redevance pétrolière,Direction Générale du Trésor (DGT),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,Redevance superficiaire,Direction Générale du Trésor (DGT),276649278.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,Redevance sur auto-consommation,Direction Générale du Trésor (DGT),1856582453.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,Solde de fiscalité reversé (Hors PID et Red sur autoconsommation),Direction Générale du Trésor (DGT),3066413485.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Royalties (1415E1),Oil & Gas,Taxe Maritime,SOCOTRAM / Direction de la Marine Marchande / Conseil congolais des chargeurs,,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Taxes on exports (1152E),Mining,Redevance sur les diamants (RDA),Direction Générale des Douanes et des Droits Indirects (DGDDI),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Taxes on exports (1152E),Oil & Gas,Droits accessoires à la sortie (DAS),Direction Générale des Douanes et des Droits Indirects (DGDDI),40234739.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Taxes on exports (1152E),Oil & Gas,Droits de sortie (DST),Direction Générale des Douanes et des Droits Indirects (DGDDI),3535699.0,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
Taxes on exports (1152E),Oil & Gas,Taxe additionnelle à l'exportation (TAE),Direction Générale des Douanes et des Droits Indirects (DGDDI),,XAF,Republic of the Congo,COG,2017,2017-01-01,2017-12-31
