GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Other taxes payable by natural resource companies (116E),Mining,Reimbursement for deposit exploration conducted with State funds,Mineral Resources and Petroleum Authority of Mongolia,5168689442.71,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Other taxes payable by natural resource companies (116E),Oil,Operational support to Representative office under PSA,Mineral Resources and Petroleum Authority of Mongolia,969961656.49,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Other taxes payable by natural resource companies (116E),Other,Others,Other,47653712662.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Other taxes payable by natural resource companies (116E),Other,Others,Subnational level,6444058924.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Royalties (1415E1),Mining,Royalty,Mineral Resources and Petroleum Authority of Mongolia,35944328418.36,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Social security employer contributions (1212E),Other,Social and health insurance contribution by companies,Social Insurance General Office,290944218122.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Taxes on payroll and workforce (112E),Other,Payment for recruiting foreign experts and workers,Ministry of Labor and Social Protection,21533255509.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Taxes on payroll and workforce (112E),Other,Payment of recruiting foreign experts and workers,Subnational level,336480000.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Taxes on property (113E),Other,Land fee,Subnational level,27830923863.9,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Taxes on property (113E),Other,Real estate tax,Subnational level,31161987334.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
Voluntary transfers to government (donations) (144E1),Other,Donations to Government agencies,Donations and supports received by government entities,34545143529.0,MNT,Mongolia,MNG,2019,1/1/2019,12/31/2019
