Full company name,Payments to Governments Report,Country,Year
BEA MOUNTAIN MINING CORPORATION,4167754.0,Liberia,2019
FOREST VENTURE INC (FVI),450715.0,Liberia,2019
LIBERIAN AGRICULTURAL COMPANY (LAC),762409.0,Liberia,2019
MANDRA - FORESTRY LIB,1492147.0,Liberia,2019
MARYLAND OIL PALM PLANTATION (MOPP),273118.0,Liberia,2019
SING AFRICA PLANTATIONS LIBERIA INC,518536.0,Liberia,2019
SOCIÉTÉ LABRADOR MADAGASCAR SARL,685751130.81,Madagascar,2017
REPSOL EXPLORACIÓN MÉXICO SA DE CV,2407201.0,Mexico,2017
REPSOL EXPLORACIÓN MÉXICO SA DE CV,291711302.0,Mexico,2018
CHINGGISIIN KHAR ALT LLC,706253000.0,Mongolia,2018
COAL LLC,27315410000.0,Mongolia,2018
COMMONMAX LLC,300943000.0,Mongolia,2018
DONGSHENG PETROLEUM MONGOLIA LLC,12654203000.0,Mongolia,2018
ERDENES TAVAN TOLGOI MINING JSC,416328509000.0,Mongolia,2018
METAL OPT LLC,2275337000.0,Mongolia,2018
MONGOL BASALT JSC,705000.0,Mongolia,2018
MONGOL JU YUAN LI LLC,1547935000.0,Mongolia,2018
MONGOLYN ALT (MAK) LLC,184449980000.0,Mongolia,2018
OEL,5935000.0,Mongolia,2018
REDVULCAN CO LTD,136582000.0,Mongolia,2018
SHANLUN LLC,401439000.0,Mongolia,2018
SHARYNGOL JSC,6061724000.0,Mongolia,2018
SPECIAL MINES NARAN MANDAL ENTERPRISES SC,983997000.0,Mongolia,2018
TAVANTOLGOI JSC,177143513000.0,Mongolia,2018
CENTERRA GOLD MONGOLIA LLC,423015497.0,Mongolia,2019
ERDENET MINING CORPORATION LLC,949589598818.0,Mongolia,2019
ILT GOLD LLC,1242236507.0,Mongolia,2019
JAVKHLANT ORD LLC,4099576815.0,Mongolia,2019
MONGOL CZECH METAL LLC,688424905.0,Mongolia,2019
PETROCHINA DAQING TAMSAG LLC,281681512337.0,Mongolia,2019
REDVULCAN CO LTD,329134077.0,Mongolia,2019
TOD-UNDARGA LLC,3590283630.0,Mongolia,2019
TSAIRT MINERAL LLC,70211790919.0,Mongolia,2019
UGUUJ BAYAN KHANGAI LLC,379327002.0,Mongolia,2019
UULS ZAAMAR LLC,7275938621.0,Mongolia,2019
VOYAGER MINERAL RESOURCES LLC,637726561.0,Mongolia,2019
BAYAN AIRAG EXPLORATION LLC,10852926716.15,Mongolia,2020
BAYANGOL ECO ZAAMAR LLC,786148910.4100001,Mongolia,2020
BURDEL MINING LLC,23962572294.21,Mongolia,2020
CENTERRA GOLD MONGOLIA LLC,423866842.07,Mongolia,2020
DRAPER CAPITAL MONGOLIA LLC,306914661.87,Mongolia,2020
ENERGY RESOURCES LLC,182244249293.35,Mongolia,2020
ERDENES MONGOL LLC,740785070.05,Mongolia,2020
ERDENES TAVAN TOLGOI MINING JSC,468880584491.43,Mongolia,2020
ERDENES TSAGAANSUVARGA LLC,1247236583.78,Mongolia,2020
GOLDEN HAMMER LLC,1071939483.91,Mongolia,2020
IKH UNDARGA MINING LLC,323940555.82,Mongolia,2020
ILT GOLD LLC,629597740.84,Mongolia,2020
KHANGAD EXPLORATION LLC,14472485859.99,Mongolia,2020
KHUKH BURDNII EKH LLC,397967854.5,Mongolia,2020
KHUREN TOLGOI COAL MINING LLC,44374003856.91,Mongolia,2020
MONGOLROSTSVETMET LLC,47585419932.35,Mongolia,2020
MONPOLYMET LLC,2618511726.5299997,Mongolia,2020
PLATINUM LAND LLC,1482759188.3,Mongolia,2020
REDVULCAN CO LTD,708088597.39,Mongolia,2020
SONOR TRADE LLC,920442344.59,Mongolia,2020
SOUTHGOBI SANDS LLC,45709078224.12,Mongolia,2020
SPECIAL MINES NARAN MANDAL ENTERPRISES SC,4220080392.04,Mongolia,2020
TERGUUN MINING LLC,964606755.65,Mongolia,2020
TOD-UNDARGA LLC,2221452203.5099998,Mongolia,2020
UGUUJ BAYAN KHANGAI LLC,386000884.98,Mongolia,2020
UNIVERSAL COPPER LLC,323172377.33,Mongolia,2020
UULS-NOYON LLC,289442479.84000003,Mongolia,2020
VOYAGER MINERAL RESOURCES LLC,1357830396.5100002,Mongolia,2020
ASPHALT UNITY CONSTRUCTION LIMITED,329455.66,Nigeria,2017
BRASOIL OIL SERVICES COMPANY NIGERIA LIMITED,4233755.53,Nigeria,2017
BUA INTERNATIONAL LIMITED,265732.518,Nigeria,2017
C.G.C NIGERIA LIMITED,4788304.241,Nigeria,2017
CNC MINING COMPANY LIMITED,91599.706,Nigeria,2017
CONTINENTAL OIL AND GAS COMPANY (CONOG),22279874.0,Nigeria,2017
CRUSHED ROCK INDUSTRIES (NIGERIA) LTD,45454.195,Nigeria,2017
