Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Korea Gas Corporation,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyaing International (GKI),Private,106577293,Mining,"Gem, Jade",,,2948553218.92,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyal Sin Phyu,Private,103508312,Mining,"Gem, Jade",,,23697824.52,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyauk Myet Shwe Pyi,Private,100174359,Mining,"Gem, Jade",,,1340486697.57,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyauk Same Nan Taw (GKN),Private,100798247,Mining,"Gem, Jade",,,2904292484.83,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyauk Seinn Minn Gems,Private,103472296,Mining,"Gem, Jade",,,536706693.21,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyauk Seinn Sun Shwin Jade Gems & Jewellery Co Ltd,Private,103832675,Mining,"Gem, Jade",,,1875507983.51,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Kyauk Seinn Wingabar Jade Gems & Jewellery Co.,Ltd",Private,133473467,Mining,"Gem, Jade",,,842278059.98,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyaut Myat Min,Private,113325240,Mining,"Gem, Jade",,,101937663.76,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyaut Seinnn Karbarkyaw,Private,100818132,Mining,"Gem, Jade",,,527881569.04,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyei Linn Gems & Jade Company,Private,11522 6118,Mining,"Gem, Jade",,,4576706.98,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kyi Wai Yan,Private,102754441,Mining,"Gem, Jade",,,159042226.69,Myanmar,MMR,2018,4/1/2017,3/31/2018
LAW LU,Private,136924281,Mining,"Gem, Jade",,,85409007.08,Myanmar,MMR,2018,4/1/2017,3/31/2018
LINN PYAE MINING COMPANY LIMITED,Private,116551748,Mining,"Lead, Zinc",,,41911518.46,Myanmar,MMR,2018,4/1/2017,3/31/2018
LOI CHAI NAGAR MINING COMPANY LIMITED,Private,110744463,Mining,Coal,,,327979242.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Lawka Nandar,Private,101487253,Mining,"Gem, Jade",,,645987423.55,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Linn Htet Aung Gems Co.,Ltd.",Private,1952818234,Mining,"Gem, Jade",,,446677551.54,Myanmar,MMR,2018,4/1/2017,3/31/2018
Linn Lett Win Yadanar Gems Co Ltd,Private,150969522,Mining,"Gem, Jade",,,37266397232.69,Myanmar,MMR,2018,4/1/2017,3/31/2018
Lon Hai,Private,134823119,Mining,"Gem, Jade",,,8313540.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Long Byit,Private,104973124,Mining,"Gem, Jade",,,102067199.02,Myanmar,MMR,2018,4/1/2017,3/31/2018
Lucky Star Jade Group,Private,162113011,Mining,"Gem, Jade",,,371784888.8,Myanmar,MMR,2018,4/1/2017,3/31/2018
Lyan Shan,Private,108840048,Mining,"Gem, Jade",,,635869515.63,Myanmar,MMR,2018,4/1/2017,3/31/2018
MANDALAY DISTRIBUTION & MINING COMPANY LIMITED,Private,104054625,Mining,Coal,,,537215599.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"MANDALAY GOLDEN FRIEND MINING CO., LTD.",Private,118051289,Mining,Coal,,,249300800.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
MAX (MYANMAR) COMPANY LIMITED,Private,141288016,Mining,"Limestone, Coal",,,1688236849.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
MAY FLOWER MINING ENTERPRISES LIMITED,Private,100784866,Mining,"Coal, Gold",,,25163776.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
MEGA STAR JEWEL LIMITED,Private,110022956,Mining,"Gem, Jade",,,164399457.45,Myanmar,MMR,2018,4/1/2017,3/31/2018
MELODIOUS GEMS COMPANY LIMITED,Private,105609108,Mining,"Gem, Jade",,,108468151.02,Myanmar,MMR,2018,4/1/2017,3/31/2018
METAL METERO,Private,105818165,Mining,"Gem, Jade",,,7451167.69,Myanmar,MMR,2018,4/1/2017,3/31/2018
MINING WORLD COMPANY LIMITED,Private,114974269,Mining,"Tin, Tungsten",,,107467210.32,Myanmar,MMR,2018,4/1/2017,3/31/2018
MOECO Asia Pte. Ltd,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
MOGOK PRIDE,Private,107022201,Mining,"Gem, Jade",,,6821561.27,Myanmar,MMR,2018,4/1/2017,3/31/2018
MOUNT CHING YING MINING COMPANY LIMITED,Private,105617070,Mining,"Lead, Zin, Marble",,,47585200.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
MPRL E&P,Private,177811262,Oil & Gas,"Oil, Gas, Condensates",,,-14675019330.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMA ECONOMIC HOLDINGS PUBLIC COMPANY LIMITED,Private,103947189,Mining,"Gold, Copper, Coal, Granite, Bauxite",,,29133864790.31,Myanmar,MMR,2018,4/1/2017,3/31/2018
"MYANMAR APEX MINING CO., LTD",Private,101715809,Mining,Coal,,,2617957032.09,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMAR CNMC NICKEL COMPANY LIMITED,Private,108341157,Mining,Nickel,,,753432369.11,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMAR ECONOMIC CORPORATION LIMITED,Private,105444192,Mining,"Limestone, Clay, Copper, Coal, Marble, Granite, Gypsum",,,10398923559.15,Myanmar,MMR,2018,4/1/2017,3/31/2018
"MYANMAR GOLDEN POINT FAMILY CO., LTD.",Private,109529788,Mining,Gold,,,136550973.3,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMAR MYO KO MEDICAL INSTRUMENT COMPANY LIMITED,Private,111192928,Mining,Iron,,,75209.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMAR NAING GROUP MINING COMPANY LTD,Private,112682317,Mining,Limestone,,,45613400.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMAR PONGPIPAT COMPANY LIMITED,Private,106803838,Mining,"Tin, Tungsten",,,271637284.2,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMAR SIMCO SONG DA JOINT STOK COMPANY LIMITED,Private,110108567,Mining,Marble,,,6093992.07,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMAR SITHU,Private,106648646,Mining,"Gem, Jade",,,35039939.57,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMAR TIN -TUNGSTEN COMPANY LIMITED,Private,106131341,Mining,"Tin, Tungsten",,,12618578.6,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYANMAR WANBAO MINING COPPER LTD,Private,,Mining,Copper,,,2985313960.79,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYAUK KYUN THU MA MINING & REFINERY COMPANY LIMITED,Private,103947189,Mining,Gold,,,99043560.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYAY NAGAR MINING COMPANY LIMITED,Private,103600111,Mining,Lead,,,191846448.48,Myanmar,MMR,2018,4/1/2017,3/31/2018
MYINT INVESTMENT GROUP COMPANY LIMITED,Private,116291568,Mining,Limestone,,,143797234.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Ma Li Kha Gem Stone Co,Private,105456425,Mining,"Gem, Jade",,,715109255.81,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Machinery and Solutions Co., Ltd.",Private,,Oil & Gas,"Oil, Gas, Condensates",,,30410955.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Maurel & Prom Exploration & Production,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Moattama Gas Transportation Co.,Ltd(MGTC)",Private,142356155,Not applicable,,,,187613264454.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Moe Brothers,Private,102595246,Mining,"Gem, Jade",,,63845788.68,Myanmar,MMR,2018,4/1/2017,3/31/2018
Mya Garden (GEG),Private,115165925,Mining,"Gem, Jade",,,8341630986.76,Myanmar,MMR,2018,4/1/2017,3/31/2018
