Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Britannia Field to St Fergus,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Bruce,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Clair Pipeline,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Claymore,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Crown Farm & Delamere Quarries,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
DL2,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
DL4,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
E442,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
E445,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
E450,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
E451,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
E455,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
EXL273,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
East Brae,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Everest,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Forties,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Forties Field,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Frigg Field to Rattray Bay,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Fulmar,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Furzey Island Pipeline,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Hydrocarbon Pipeline - LASMO Eagles,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Hydrocarbon Pipeline - Leman,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Hydrocarbon Pipeline - Leman B Bacton Gas Pipeline,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Hydrocarbon Pipeline - Liverpool bay,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
