index,company_name,Project name,Country,Year,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,ISO Code,Start Date,End Date
part3,,EXPL 2/2012,Afghanistan,2019,Mining Exploration License,Khoshak Brothers Co,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 2/2013,Afghanistan,2019,Mining Exploration License,WESTCO INTERNATIONAL,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 2/2015,Afghanistan,2019,Mining Exploration License,شرکت برادران عادل,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 3/2012,Afghanistan,2019,Mining Exploration License,شرکت برادران خالد عزیز,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 3/2012,Afghanistan,2019,Mining Exploration License,شرکت برادران خالد عزیز,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 4/2014,Afghanistan,2019,Mining Exploration License,Zar Jan,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 5/2012,Afghanistan,2019,Mining Exploration License,شرکت برادران مهمند شمال,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 5/2013,Afghanistan,2019,Mining Exploration License,Amania Mining Company,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 5/2014,Afghanistan,2019,Mining Exploration License,Ehsan Aziz Construction Company,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 6/2012,Afghanistan,2019,Mining Exploration License,Madan Karan,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 7/2012,Afghanistan,2019,Mining Exploration License,Hashimy Group,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,EXPL 8/2012,Afghanistan,2019,Mining Exploration License,Metal Mining UK,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,P-EXP 1/2011,Afghanistan,2019,Petroleum Exploitation License,CNPCI Watan Oil and Gas Afghanistan limited,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,P-EXPL 1/2013,Afghanistan,2019,Petroleum Exploration License,TP Afghanistan limited,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,P-EXPL 2/2013,Afghanistan,2019,Petroleum Exploration License,Dragon Oil sanduqli limited,n/a,n/a,,n/v,,n/v,AFG,2018-12-21,2019-12-20
part3,,SSML-KABU 1/2008,Afghanistan,2019,Small-scale mining license,شرکت تکنالوجست,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,SSML-KABU 1/2015,Afghanistan,2019,Small-scale mining license,شرکت اعتماد قره باغ,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,SSML-KABU 5/2015,Afghanistan,2019,Small-scale mining license,Habib Shahab Talc and Marble exploitation and process company,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,SSML-KABU 1/2016,Afghanistan,2019,Small-scale mining license,شرکت سپتی اوغلوایس مات دستی,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,SSML-KABU 10/2016,Afghanistan,2019,Small-scale mining license,Hakim Jan,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,SSML-KABU 10/2016,Afghanistan,2019,Small-scale mining license,Hakim Jan,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,SSML-KABU 11/2015,Afghanistan,2019,Small-scale mining license,Abdul Fatah,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
part3,,SSML-KABU 12/2016,Afghanistan,2019,Small-scale mining license,Zabih Ullah,n/a,n/a,,n/a,,n/a,AFG,2018-12-21,2019-12-20
