Full company name,Payments to Governments Report,Country,Year
"CEPSA TRADING , S.A.U",673273675,Iraq,2018
CHINA OFFSHORE OIL (SINGAPORE) INTERNATIONAL PTE. LTD.,759852463,Iraq,2018
EXXON MOBIL CORPORATION,1646682719,Iraq,2018
KAZMUNAYGAS TRADING AG,67568169,Iraq,2018
MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,1560523767,Iraq,2018
PETRONAS CARIGALI IRAQ HOLDING B.V,529731676,Iraq,2018
AL WAHA PETROLEUM CO. LTD.,628712909,Iraq,2018
EXXON MOBIL IRAQ LIMITED,329604903,Iraq,2018
GAZPROM NEFT BADRA B.V.,411431751,Iraq,2018
KUWAIT ENERGY,80330888,Iraq,2018
THE EGYPTIAN GENERAL PETROLEUM,15087380,Iraq,2018
EGYPTIAN GENERAL PETROLEUM CORPORATION,,Iraq,2018
UKRGAZVYDOBUVANNIA JSC,50211117998.63,Ukraine,2017
NAFTOGAZVYDOBUVANNIA PRJSC,4650457047.95,Ukraine,2017
SYSTEMOILENGINEERING LLC,185202352.47,Ukraine,2017
PROM-ENERGOPRODUCT LLC,118381856.08,Ukraine,2017
KRIVOJ ROG`S IRON-ORE COMBINE PJSC,1045068355.06,Ukraine,2017
THE FOREIGN INVESTMENT ENTERPRISE ZAPORIZHZHIA IRON ORE INDUSTRIAL COMPLEX PRJSC,497684580.68,Ukraine,2017
LYSYCHANSKVUHILLIA PJSC,72384273.67,Ukraine,2017
UKRGASVYDOBUVANNYA JSC,41118410085.78,Ukraine,2018
ENERGY SERVICE COMPANY ESCO-PIVNICH LLC,2406519019.58,Ukraine,2018
KUB-GAZ LLC,685091562.27,Ukraine,2018
STRYINAFTOGAZ LLC,229191792.1,Ukraine,2018
ENERGIIA-95 LLC,222633990.68,Ukraine,2018
ZAKHIDNADRASERVIS LLC,176908264.82,Ukraine,2018
ARCELORMITTAL KRYVYI RIH PJSC,2397943225.39,Ukraine,2018
KRIVOJ ROG`S IRON-ORE COMBINE PJSC,,Ukraine,2018
LVIVVUGHILIYA SE,278038450.53,Ukraine,2018
UKRGASVYDOBUVANNYA JSC,48133024015.17,Ukraine,2019
NAFTOGAZVYDOBUVANNIA PRJSC,4012896019.91,Ukraine,2019
ENERGY SERVICE COMPANY ESCO-PIVNICH LLC,1565064540.11,Ukraine,2019
KUB-GAZ LLC,463285289.84,Ukraine,2019
ENERGIIA-95 LLC,186983711.49,Ukraine,2019
ARCELORMITTAL KRYVYI RIH PJSC,-585400807.45,Ukraine,2019
PERVOMAISKVUHILLIA SE,107319071.46,Ukraine,2019
LYSYCHANSKVUHILLIA PJSC,88401726.85,Ukraine,2019
ENERGY SERVICE COMPANY ESCO-PIVNICH LLC,976412002.34,Ukraine,2020
JV UKRKARPATOIL LTD LLC,278411434.98,Ukraine,2020
KUB-GAZ LLC,169945571.22,Ukraine,2020
NORDIK PE,110675204.9,Ukraine,2020
SYSTEMOILINGENERING LLC,100815419.52,Ukraine,2020
STRYINAFTOGAZ LLC,73900132.93,Ukraine,2020
JOINT ACTIVITY AGREEMENT OF 24/12/1997 NO. 999/97. OPERATOR - POLTAVANAFTOGAZ NGDU OF UKRNAFTA PJSC (22525915),3083931207.56,Ukraine,2020
ARCELORMITTAL KRYVYI RIH PJSC,-920490661.8,Ukraine,2020
NOTHERN IRON ORE ENRICHMENT WORKS PRJSC,1283701626.33,Ukraine,2020
PERVOMAISKVUHILLIA SE,148226309.38,Ukraine,2020
BREEDON GROUP PLC (INCORPORATED IN JERSEY),,United Kingdom,2018
SICCAR POINT ENERGY (HOLDINGS) LTD [INCL. OMV (U.K.) LTD],1872925,United Kingdom,2018
BREEDON GROUP PLC (INCORPORATED IN JERSEY),15342783,United Kingdom,2019
EQUINOR UK LTD,2782518,United Kingdom,2019
JX NIPPON EXPLORATION AND PRODUCTION UK LTD,-9273409,United Kingdom,2019
NEPTUNE ENERGY (INCLUDING ENGIE E&P UK LTD),2922325,United Kingdom,2019
CNOOC PETROLEUM EUROPE LIMITED,142409794,United Kingdom,2020
EQUINOR UK LTD,4260349,United Kingdom,2020
ONE-DYAS UK LTD,7248108,United Kingdom,2020
LUMWANA MINING COMPANY LTD,1412961690.05,Zambia,2017
FIRST QUANTUM MINING AND OPERATIONS LTD-BM M S,793369003.48,Zambia,2017
FIRST QUANTUM MINING AND OPERATIONS LTD BM M S,316715805.31,Zambia,2018
ZCCM INVESTMENTS HOLDINGS PLC,95082467.74,Zambia,2018
HIDROALBANIA ENERGJI SHPK,15338853,Albania,2017
”DITEKO” SH.P.K,58032805,Albania,2017
SHERWOOD INTERNACIONAL PETROLEUM LTD,38957698.93,Albania,2017
