Full name of agency,Total reported,Country,Year
LOCALITÉ DE BONDOUKOU,19449399.0,Cote d'Ivoire,2018
LOCALITÉ DE LAUZOUA DIVO,70479706.0,Cote d'Ivoire,2018
LOCALITÉ D’AGBAOU-DIVO,636531600.0,Cote d'Ivoire,2018
LOCALITÉ D’HIRÉ,501830662.0,Cote d'Ivoire,2018
LOCALITÉ D’ITY-ZOUHAN-HOUNIEN,220037096.0,Cote d'Ivoire,2018
SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),57696675052.0,Cote d'Ivoire,2018
SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI),0.0,Cote d'Ivoire,2018
AGENCE CONGOLAISE DE L’ENVIRONNEMENT (ACE),149978.58,Democratic Republic of Congo,2017
BANQUE CENTRALE DU CONGO (BCC),0.0,Democratic Republic of Congo,2017
"CENTRE D’ÉVALUATION, D’EXPERTISE ET DE CERTIFICATION DES SUBSTANCES MINÉRALES PRÉCIEUSES ET SEMI-PRÉCIEUSES(CEEC)",0.0,Democratic Republic of Congo,2017
DIRECTION DES RECETTES PROVINCIALES,178318875.24,Democratic Republic of Congo,2017
DIRECTION DES RECETTESPROVINCIALES,178320000.0,Democratic Republic of Congo,2017
DIRECTION GÉNÉRALE DES DOUANES ET ACCISES (DGDA),264612631.5,Democratic Republic of Congo,2017
DIRECTION GÉNÉRALE DES IMPÔTS (DGI),518270772.92,Democratic Republic of Congo,2017
"DIRECTION GÉNÉRALE DES RECETTES ADMINISTRATIVES, JUDICIAIRES, DOMANIALES ET DE PARTICIPATION (DGRAD)",348592875.22,Democratic Republic of Congo,2017
ENTREPRISE D’ÉTAT,371400080.54,Democratic Republic of Congo,2017
MINISTÈRE PROVINCIAL DES MINES DU NORD-KIVU,0.0,Democratic Republic of Congo,2017
SECRÉTARIAT GÉNÉRAL DU MINISTÈRE DES HYDROCARBURES (SGH),1099860.0,Democratic Republic of Congo,2017
DIRECCION GENRERAL DE ADUANAS (DGA),500812436.0,Dominican Republic,2018
DIRECCIÓN GENERAL DE IMPUESTOS INTERNOS (DGII),10319618753.699999,Dominican Republic,2018
DIRECCIÓN GENERAL DE MINERÍA (DGM),683720.0,Dominican Republic,2018
MINISTERIO DE ENERGÍA Y MINAS,179000.0,Dominican Republic,2018
MINISTERIO DE ENERGÍA Y MINAS (MEM),179000.0,Dominican Republic,2018
TESORERÍA NACIONAL,0.0,Dominican Republic,2018
DIRECCION GENRERAL DE ADUANAS (DGA),103364961.0,Dominican Republic,2019
DIRECCIÓN GENERAL DE IMPUESTOS INTERNOS (DGII),11361455018.0,Dominican Republic,2019
DIRECCIÓN GENERAL DE MINERÍA (DGM),217454.0,Dominican Republic,2019
MINISTERIO DE ENERGÍA Y MINAS,448000.0,Dominican Republic,2019
DIRECCION GENRERAL DE ADUANAS (DGA),57327767.0,Dominican Republic,2020
DIRECCIÓN GENERAL DE IMPUESTOS INTERNOS (DGII),23696569082.0,Dominican Republic,2020
DIRECCIÓN GENERAL DE MINERÍA (DGM),34700.0,Dominican Republic,2020
MINISTERIO DE ENERGÍA Y MINAS,73000.0,Dominican Republic,2020
ETHIOPIAN REVENUES AND CUSTOMS AUTHORITY (ERCA),1695351904.0,Ethiopia,2017
MINISTRY OF FINANCE (MOF),0.0,Ethiopia,2017
MINISTRY OF MINES AND PETROLEUM (MOMP),208787291.0,Ethiopia,2017
GOVERNMENT AGENCIES (LEVEL OF LOCAL GOVERNMENT),34019241.61,Germany,2017
"MINING AUTHORITIES (LEVEL OF STATE GOVERNEMENT (""LÄNDER""))",255258870.59,Germany,2017
MUNICIPALITIES (LEVEL OF LOCAL GOVERNMENT),103628426.2,Germany,2017
"TAX OFFICES (LEVEL OF STATE GOVERNMENT (""LÄNDER""))",83755824.15,Germany,2017
GOVERNMENT AGENCIES (LEVEL OF LOCAL GOVERNMENT),43891373.64,Germany,2018
"MINING AUTHORITIES (LEVEL OF STATE GOVERNEMENT (""LÄNDER""))",241967347.25,Germany,2018
MUNICIPALITIES (LEVEL OF LOCAL GOVERNMENT),173974163.32,Germany,2018
"TAX OFFICES (LEVEL OF STATE GOVERNMENT (""LÄNDER""))",184194823.13,Germany,2018
