Full company name,Payments to Governments Report,Country,Year
استخراج معادن یاسمین YASAMEEN MINING CO,220936.0,Afghanistan,2018
استخراج معدن افغان گولد ومینرال AFGHAN GOLD MINERAL,68760.0,Afghanistan,2018
استخراج معدن امتیاز EMTYAZ MINING CO,6000.0,Afghanistan,2018
استخراج معدن قاسمی QASEMI MINING CO,31291.0,Afghanistan,2018
اغا احمدی منرالز استخراج اوپروسس AGHA AHMADI MINERALS PRO.CO,200.0,Afghanistan,2018
افغا ن کرستال نچرل ریسورسز AFGHAN CRISTAL NATURAL RESOUCE,49160.0,Afghanistan,2018
بلال موسی زی دمعدنی ډبرو استخراج او پروسس شرکت BILAL MOSAZAI MINING CO,367503.0,Afghanistan,2018
بی جی پی انترنشنل افغانستان لمتد BGP,89100.0,Afghanistan,2018
تصدی سمنت جبل السراج JABALSARAJ CEMENT,746950.0,Afghanistan,2018
تصدی کود برق بلخ KOD-E-BARQ BALK,66873499.0,Afghanistan,2018
تولید وپروسس سنگ مرمرالیوسف پوپل AL YOSUF POPAL MARBLE PROCESSING COMPANY,1000.0,Afghanistan,2018
جرنیل زاده تالک اومعدن داستخراج اوپروسس شرکت JARNAILZADA TALC PRO.CO,4650.0,Afghanistan,2018
حاجی ملنګ خوګیانی دمعدن استخراج HAJI MALANG KHOGYANI MINING CO,56770.0,Afghanistan,2018
حبیب شهاب تا لک اومر مرواستخراج او پروسس شر کت HABIB SHAHAB TALC PRO.CO,25459.0,Afghanistan,2018
د امین کریمزی د شوکانو او مرمرو داستخراج اوپروسس شرکت AMIN KARIMZAI TALK PRO.CO,76451.0,Afghanistan,2018
"دوست محمد فرزند محمد شاه, دوست محمد",74048.0,Afghanistan,2018
سادات غوث مایننگ کمپنی SADAT GHAWS MINING CO,1600.0,Afghanistan,2018
ستندر شو کا ڼی دپرو سس او استخراج شر کت STANDARD TALC PRO.CO,21539.0,Afghanistan,2018
سلک رود مایننگ SILK ROAD MINING CO,200.0,Afghanistan,2018
سنترال آیزین مایننگ سرویسس کمپنی CENTRAL AZEEN MINING PRO.CO,88795.0,Afghanistan,2018
سین جیانگ جنگ تونگ افغانستان تکنالوژی سرویس کو ال تی دی SEAN JEYANG JENG TONG TECHNOLOGY SERVICE CO LTD,8500.0,Afghanistan,2018
شاه فیصل شیرزاد تالک دمعدن استخراج اوپروسس شرکت SHAH FAISAL SHERZAD TALC MINING CO,3000.0,Afghanistan,2018
شرمت تولید سنگ مرمر برادران فقیری لمتید FAQIRI BROTHERS MINNIG PRO.CO,255.0,Afghanistan,2018
شرکات استخراج و پروسس سنگ مرمر شرق کابل EAST KABUL TALK PRO.CO,12920.0,Afghanistan,2018
شرکت استانه بابا,2016396.0,Afghanistan,2018
شرکت استخراج سنگ افغان مروارید لمتید AFGHAN MORWARID STONE MINING LTD,1151378.0,Afghanistan,2018
شرکت استخراج سنگ خواجه ملا کوهی لمتید KHWAJA MOLA KOHI STONE LTD,500.0,Afghanistan,2018
شرکت استخراج سنگ روخام افغان چشت لمتید AFGHAN CHESHT STONE MINING LTD,2145.0,Afghanistan,2018
شرکت استخراج معادن اترووکابل ATRO KABUL MINING CO,1200.0,Afghanistan,2018
شرکت استخراج معادن افغان اکتیف لمیتد AFGHAN ACTIVE MINING LTD,0.0,Afghanistan,2018
شرکت استخراج معادن افغان ایکو AFGHAN ECHO MINING CO,10.0,Afghanistan,2018
شرکت استخراج معادن النور AL-NOOR MINING CO,1800.0,Afghanistan,2018
شرکت استخراج معادن بهارکوهساران BAHAR KOHSARAN MINING CO,35.0,Afghanistan,2018
شرکت استخراج معادن ترکیش افغان TURKISH AFGHAN MINING CO,28570.0,Afghanistan,2018
شرکت استخراج معادن توان افغان لمتید TAWAN AFGHAN MINING CO,23385.0,Afghanistan,2018
شرکت استخراج معادن حسیب الله لمتید HABIBULLAH MINING LTD,215.0,Afghanistan,2018
شرکت استخراج معادن ذغال سنک افراسیاب AFRASYAB COAL MINING CO,0.0,Afghanistan,2018
شرکت استخراج معادن رویال ROYAL MINING CO,3978.0,Afghanistan,2018
شرکت استخراج معادن ستانه بابا STANA BABA MINING CO,1330.0,Afghanistan,2018
شرکت استخراج معادن سلطان رضا SULTAN REZA MINING CO,540.0,Afghanistan,2018
شرکت استخراج معادن سنگ سفید SANG-E-SAFID MINING CO,70450.0,Afghanistan,2018
شرکت استخراج معادن شمشاد SHAMSHAD MINING CO,46295.0,Afghanistan,2018
شرکت استخراج معادن عکس AKS MINING CO,1215.0,Afghanistan,2018
شرکت استخراج معادن لیگان LEGAAN MINING CO,20696.0,Afghanistan,2018
شرکت استخراج معادن مقصودی برادران MAQSOOD BROTHERS MINING CO,5100.0,Afghanistan,2018
شرکت استخراج معادن ممتاز کوثر لمتید MUMTAZ KAWSAR MINING LTD,1185.0,Afghanistan,2018
شرکت استخراج معادن میرزاده MIRZADA MINING CO,85.0,Afghanistan,2018
شرکت استخراج معادن هیواد برادرزHEWAD BROTHERS MINING CO,2027271.0,Afghanistan,2018
شرکت استخراج معادن کابل KABUL MINING CO,15.0,Afghanistan,2018
شرکت استخراج معادن کهساران لمتید KOHSARAN MINING LTD,17945.0,Afghanistan,2018
شرکت استخراج معادن کولت نیمروزافغانستان KOLT NEMROZ AFGHANISTAN MINING CO,1170.0,Afghanistan,2018
شرکت استخراج معادن گولدن گیت GOLDEN GATE MINING CO,12810.0,Afghanistan,2018
شرکت استخراج معدن آمو هولدنگ گروپ AMO HOLDING GROUP MINING CO,57550.0,Afghanistan,2018
شرکت استخراج معدن افغان تراورتین AFGHAN TRAWARTIN MINING CO,5.0,Afghanistan,2018
شرکت استخراج معدن افغان مس لمتید AFGHAN COPPER MINING CO,71163.0,Afghanistan,2018
شرکت استخراج معدن ایگل راک EAGAL ROCK MINING CO,191983.0,Afghanistan,2018
شرکت استخراج معدن برادران هرات غرب لمتید HEERAT WEST MINING LTD,10360.0,Afghanistan,2018
شرکت استخراج معدن بها جلیلی BAHA JALILI MINING CO,66500.0,Afghanistan,2018
شرکت استخراج معدن سرویس سنتر سترای ال ال سی SERVICE CENTER ALLC,500.0,Afghanistan,2018
شرکت استخراج معدن لعل خراسان LAL KHORASAN MINING CO,2895.0,Afghanistan,2018
شرکت استخراج معدن هرات انصار HEERAT ANSAR MINING CO,32725.0,Afghanistan,2018
شرکت استخراج معدن پارمیس گلوبل PARMIS GLOGAL MINING CO,825.0,Afghanistan,2018
شرکت استخراج معدن گربت ولیج GURBAT VILLIGE MINING CO,28695.0,Afghanistan,2018
شرکت استخراج و پروسس سنک مرمر مروارید لمتید MURWARID STONE PRO.LTD,110681.0,Afghanistan,2018
شرکت استخراج و پروسس سنگ بهار هرات مرمر لمتید BAHAR HEERAT TALK PRO. LTD,31968.0,Afghanistan,2018
شرکت استخراج و پروسس سنگ مرمر پیروز مهدی لمتید PEROZ MAHDI STONE PRO.LTD,5800.0,Afghanistan,2018
شرکت استخراج و پروسس معادن بیتا یونایتد BITA UNITED MINING CO,11715.0,Afghanistan,2018
شرکت استخراج وپروسس سنگ عرفان غزنوی لمتید URFAN GHAZNAWI STONE PRO.LTD,800.0,Afghanistan,2018
شرکت اعتماد قره باغ,229732.0,Afghanistan,2018
شرکت افغان کول ال ال سی AFGHAN CAOL LLC,352416.0,Afghanistan,2018
