Index,Company
227_part3,AFGHAN SHININK MINES EXTRACTION AND PROCESSING COMPANY
228_part3,AHMAD ABU SULAIMAN
229_part3,AHMAD RAFI ORAAZ LIMITED
230_part3,AHMAD SHAH MAIDANWALL CO
231_part3,AHMAD SHAH TALC EXTRACTION AND PROCESSING
232_part3,AHMAD WALI KALIWAL TRADING COMPANY
233_part3,ALI MURADI AND IMRAN BAKHTYARI LIMITED
234_part3,AMANIA MINING COMPANY
235_part3,AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY
236_part3,ANSARIZADA LIMITED
237_part3,ARIF SHAHAB LIMITED
238_part3,AZIMI BROTHERS GROUP OF CO
239_part3,AZIZ NAIM COMPANY
240_part3,BABRAK NASEERZAI LIMITED
241_part3,BAGHLAN QATGHAN LIMITED
242_part3,BAKHTAR AFGHAN MARBLE COMPANY
243_part3,BILAL HAIDARI LIMITED
244_part3,BILAL IQBAL HUSSAINI LIMITED
245_part3,BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY
246_part3,CNPCI WATAN OIL AND GAS AFGHANISTAN LIMITED
247_part3,CORE DRILLERS
248_part3,DAWAJAN TAREEN LIMITED
249_part3,EHSAN AZIZ CONSTRUCTION COMPANY
250_part3,FARHAN ZADRAN LIMITED
251_part3,FARSHAD MOHIDI LIMITED
252_part3,FAZAL UQAAB FARZAD LIMITED
253_part3,FULAD MALISTAN COMPANY
254_part3,GHULAM SARWAR STANIKZAI LIMITED
255_part3,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY
256_part3,HAJI BABA LIMITED
257_part3,HAJI MALANG LIMITED
258_part3,HAJI NABI JAN LIMITED
259_part3,HAKEEM TAREEN LIMITED
260_part3,HAKIM JAN
261_part3,HASHIMY GROUP
262_part3,HASSAN AQA
263_part3,HAYAT HASSAN LIMITED
264_part3,HEWAD BAGHLAN HOTAK LIMITED
265_part3,HILAL SABA MINES EXTRACTION AND PROCESSING LIMITED
266_part3,JAMAL AND CO TRADING LIMITED
267_part3,KABUL LEMAR MINERAL STONES PROCESSING CO
268_part3,KAMRAN BILAL TALC MINES EXTRACTION AND PROCESSING COMPANY
269_part3,KANDAHAR AKHEER MINERALS
270_part3,KHALID ANWAR NAUMAN SHERZAD LIMITED
271_part3,KHOSHAK BROTHERS CO
272_part3,MADAN KARAN
273_part3,MATI SAMI LIMITED
274_part3,MCC CONSORTIUM
275_part3,METAL MINING UK
276_part3,MILAD YOUSUFZAI
277_part3,MIR AFZALYAR LIMITED
278_part3,MIRWAIS QARIZADA LIMITED
279_part3,MISAQ-E SHARQ COMPANY
280_part3,MOHAMAD AKRAM YAQUBI
281_part3,MOHAMMAD HARIF SHARIFI LIMITED
282_part3,MOHAMMAD OMAR NOORZAI LIMITED
283_part3,MOHIB NAJIB LIMITED
284_part3,MOHIBULLAH SAFI BROTHERS LIMITED
285_part3,NABI AFGHAN MINES EXTRACTION AND PROCESSING COMPANY
286_part3,NADEEM AHMAD ARABZAI LIMITED
287_part3,NAJIB FAHIM LIMITED
288_part3,NANGARHAR AFGHAN TALC MINES EXTRACTION AND PROCESSING COMPANY
289_part3,NASEEB USMAN LIMITED
290_part3,NASIM AFGHAN LIMITED
291_part3,NATURAL STONE COMPANY
292_part3,NEFT AND GAZ QASHQARI COMPANY
293_part3,NEK HAKIMZADA LIMITED
294_part3,NOOR ABAS KHOSHIWAL LIMITED
295_part3,NORTH COAL ENTERPRISE (NCE)
296_part3,OMAR FAROOQ TALC PROCESSING COMPANY
297_part3,PAIK PARAMOUNT COMPANY
298_part3,RAFIULLAH NASIR KARIMI LIMITED
299_part3,RASTAMKHIL DAWOLATZAI CO
300_part3,SAHIL BILAL LIMITED
301_part3,SAHIL JAMIL LIMITED
302_part3,SAJJAD HASHIMI LIMITED
303_part3,SALMAN SHERZAD TALC COMPANY
304_part3,SAMIULLAH SAMI LIMITED
305_part3,SAYED HASHIM MOSAWI
306_part3,SEFAT ULLAH
307_part3,SHAIKH SAKHI KAMRAN LIMITED
308_part3,SHERBAZ ZADRAN LIMITED
309_part3,SHERZAD ARYA MINES EXTRACTION AND PROCESSING COMPANY
310_part3,SILK ROAD MINING
311_part3,SKY HORIZON
312_part3,STANDARD TALC EXTRACTION AND PROCESSING COMPANY
313_part3,TARAAJ MINERALS EXTRACTION AND PROCESSING COMPANY
314_part3,TARIQ SHERZAD MARBLE EXTRACTION
315_part3,TAWAAN ANSAAR LIMITED
316_part3,TP AFGHANISTAN LIMITED
317_part3,TURAB KHAN
318_part3,VESTA CONSTRUCTION & CONSTRUCTION MATERIALS CO
319_part3,WESTCO INTERNATIONAL
320_part3,ZABIH ULLAH
321_part3,"احمد علی ولد خداداد
322_part3,ARIF SARWARI MINING CO
323_part3,. GALAXY ROBY GEM STONE CO
324_part3,AMO MINING CO
325_part3,YARMI BROTHERS MINING
326_part3,SAMEER RELANCE MINING CO
327_part3,استخراج معادن هیواد برادرز
328_part3,YASAMEEN MINING CO
329_part3,AHMADI BEHSODI MINING CO
330_part3,AFGHAN GOLD MINERAL CO
331_part3,EMTIYAZ MINING CO
332_part3,PALZA MINING CO
333_part3,TAWKAL BEHSODI MINING CO
334_part3,SARZAMEEN ARYANA MINING CO
335_part3,SANG-E-DOAAB MINING CO
336_part3,SHOBAN ALKHAIR MINING CO
337_part3,ABDUL MATEEN STANEKZAI MINING CO
338_part3,ATIQ SAHRAYEE MINING CO
339_part3,QASEMI MINING CO
340_part3,MOHAMMAD SHAFIQ SEDIQYAR MINING
341_part3,MODERN MINING CO
342_part3,NAZIRULLAH LODIN MINING CO
343_part3,VELA CITY MINING CO
344_part3,ZARAFSHAN-E-SAFED STONE PROCESSING CO
345_part3,AGHA AHMADI MINERAL PRO.CO
346_part3,AFGHAN CRISTAL NATURAL RESOURCES
347_part3,افغان گولد اند منرالز
348_part3,BILAL MOSAZAI MINING CO
349_part3,BAHAR KHAROTI ALMONYAM CO
350_part3,BGP INTERNATIONAL AFGHANISTAN CO
351_part3,JABALSARAJ CEMENT
352_part3,KOD-E-BARQ
353_part3,JARNAILZADA TALC PRO.CO
354_part3,HABIB SHAHAB TALC PRO.CO
355_part3,KHALID SHARZAD TALC PRO.CO
356_part3,KHAN BABA TALC PRO.CO
357_part3,AMIN KARIMZAI TALK PROCESSING COMPANY
358_part3,DRAGON OIL LTD
359_part3,STANDARD TALC PRO.CO
360_part3,CENTRAL AIZEEN MINING CO
361_part3,SAIFULLAH NASERI MINING PRO.CO
362_part3,SEIN JHONG JHENG TONG
363_part3,SHARQ KABUL TALC PROCESSING CO
364_part3,شرکت استانه بابا
365_part3,NASER TORGHAR MINING CO
366_part3,AFGHAN MORWARID LTD
367_part3,KABUL MINING EXTRACTION COMPANY
368_part3,ATRO KABUL MINING CO
369_part3,شرکت استخراج معادن افغان اکتیف
370_part3,AFGHAN ACTIVE MININIG LTD
371_part3,AFGHAN ECHO MINING CO
372_part3,AL-NOOR MINING CO
373_part3,ASIA ROYAL MINING CO
374_part3,BAHAR-E-KOHISTAN MINING CO
375_part3,TURKISH AFGHAN MINING CO
376_part3,DIAMOND ASLAN HOTAK MINING CO
377_part3,AFRASYAB COAL MINING CO
378_part3,SARDAR MOHAMMAD AHMADI COAL MINING CO
379_part3,ROYAL MINING CO
380_part3,STANA BABA MINING CO
381_part3,YOSUFI REZAEE LTD
382_part3,SANG MORWARID NELE AFGHAN MINING CO
383_part3,AKS MINING CO
384_part3,KABUL SHEEN DANG MAIN JAIR PROCESSING CO
385_part3,KOHSARAN MINING LTD
386_part3,KOLT NEMROZ AFGHANISTAN MINING CO
387_part3,GOLDEN GATE MINING CO
388_part3,LEGAN MINING CO
389_part3,MAQSOOD BROTHERS MINING CO
390_part3,MOMTAZ KAWSAR LTD
391_part3,MIRZADA MINING CO
392_part3,شرکت استخراج معادن هاشمی
393_part3,HEWAD BROTHERS MINING CO
394_part3,SAT&AFG
395_part3,ESTERLING MINING CO
396_part3,AFGHAN TRANWERTIN MINING CO
397_part3,AFGHAN COPPER MINING CO
398_part3,EGAL ROCK MINING CO
399_part3,PARMIS GLOBLE MINING CO
400_part3,PAMIR TRANG MINING CO
401_part3,SHAMAL GLOBAL TALC PROCESSING CO
402_part3,TAKHT-E-ZAFAR MINING CO
403_part3,SERVICE CENTER ALLC
404_part3,AL-GHAZAR JAGHORI TALC PROCESSING CO
405_part3,GURBAT VILLIGE MINING CO
406_part3,MOMTAZ WARS MINING CO
407_part3,HEERAT ANSAR MINING CO
408_part3,YOSOFZAI ASTON MINING CO
409_part3,NASER OMAID SALT CO
410_part3,TOLO AFTAN ASIA STONE PROCESSING LTD
411_part3,MAYAM SAFI GEM STONE PRO.CO
412_part3,AFGHAN FARHAD MINING CO
413_part3,AFGHANISTAN DOROKHSHAN MINING CO
414_part3,BITA UNITED MINING CO
415_part3,شرکت استخراج و پروسس معادن کابل راک
416_part3,NENEGARHAR SHENG MINING CO
417_part3,BALA DEH KHOSHI MINING PRO.CO
418_part3,FAZL RAHMAN QURAISHI MINING CO
419_part3,شرکت استخراج وپروسس سنگ بری زرافشان سفید
420_part3,URFAN GHAZNAWI LTD
421_part3,شرکت اعتماد قره باغ
422_part3,AFGHAN COAL LLC
423_part3,ATRESS MINING CO
424_part3,AMANIA MINING CO
425_part3,شرکت امید سباون
426_part3,شرکت برادران خالد عزیز
427_part3,شرکت برادران عادل
428_part3,PAMIR KHORASAN TALC PROCESSING CO
429_part3,SALEEM KARWAN MINING CO
430_part3,شرکت تکنالوجست
431_part3,SHAMSHAD RAHMAN TALC PRO.CO
432_part3,شرکت تولید سنگ تزیناتی وتعمیراتی هلال
433_part3,شرکت تولید سنگ کابول تدبیر
434_part3,CENTER AMERICAN LLC
435_part3,AFGHAN KNIGHT GEO & MINING CO
436_part3,KATALEST IRON CO
437_part3,شرکت ریگریشن کابل گلدره
438_part3,شرکت ساختمانی حاجی ملا شاه میرزی
439_part3,شرکت ساختمانی فاروق استانکزی
440_part3,MINING INVESTMENT COMPANY
441_part3,SAEB LTD
442_part3,BAKHTER TALK PRIV-LTD
443_part3,JAHAN SANG SAHEL LTD
444_part3,BROTHERS CROMITE LTD
445_part3,BAHAR MARMAR LTD
446_part3,DARAI SOOF BROTHER MINING CO
447_part3,PAMIR RASOOL MINING CO
448_part3,KOLAK MINING CO
449_part3,SHAHAB MAHBOOB TALC PRO.CO
450_part3,SHAR MOHAMMAD SALEH MINING CO
451_part3,SAF AFGHAN GEM STONES PRO.CO
452_part3,ABID AZIM TALC PRO.CO
453_part3,ATIQ MOHEB MINING PRO.CO
454_part3,"فقیر حسین
455_part3,"محمد هاشم فرزند عبدالله
456_part3,"محمد یاور ولد عبدالکریم
457_part3,"محمدی فرزند مسجدی
458_part3,MAZAR BABA TALC PRO.CO
459_part3,NORTH WEST MINERALS
460_part3,NABI AFGHAN MINING CO
461_part3,"نجیب الله فرزند عین الله
462_part3,"نصرالله فرزند اول الدین
463_part3,"نقیب الله فرزند محمد نبی
464_part3,YASER MANSOOR MINING CO
465_part3,YONOS ANIS AHMADZAI TALC PRO.CO
466_part3,SOCIÉTÉ NATIONALE D'OPÉRATIONS PETROLIÈRE DE COTE D'IVOIRE (PETROCI)
467_part3,FOXTROT INTERNATIONAL
