Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Azeem Baksh,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Azeem Baksh,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Azeem Baksh,Guyana Geology and Mines Commission (GGMC),Royalties,Yes,Yes,Azeem Baksh,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
BOSAI Minerals Guyana Inc,Guyana Geology and Mines Commission (GGMC),Annual Licence Rental Charge,Yes,Yes,"Linden, Potaro 2",GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Baboolall Chunilall,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Baboolall Chunilall,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Baboolall Chunilall,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Baboolall Chunilall,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Baboolall Chunilall,Guyana Geology and Mines Commission (GGMC),Royalties,Yes,Yes,Baboolall Chunilall,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Baboolall Chunilall,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Baboolall Chunilall,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Baracara Quarries Inc,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Baracara Quarries Inc,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Baracara Quarries Inc,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Baracara Quarries Inc,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Baracara Quarries Inc,Guyana Geology and Mines Commission (GGMC),Royalties,Yes,Yes,Baracara Quarries Inc,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Bauxite Company of Guyana Inc,Guyana Geology and Mines Commission (GGMC),Royalties,Yes,Yes,Bauxite Company of Guyana Inc,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
CGX Resources Inc.,Environmental Protection Agency (EPA),Construction Permit Fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
