Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
P1107,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P111,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1114,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1117,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P112,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P114,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1159,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P116,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P117,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P118,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1186,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1189,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P119,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1195,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P12,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1200,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1230,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1241,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1242,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1246,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1270,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1272,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1293,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1298,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P13,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
